QA-100764	BLOCKED	runs/2026-06-27/QA-100764-report.md
QA-103246	PASS	runs/2026-06-27/QA-103246-report.md
QA-103248	PASS	runs/2026-06-27/QA-103248-report.md
QA-10387	BLOCKED	runs/2026-06-27/QA-10387-report.md
QA-104870	PASS	runs/2026-06-27/QA-104870-report.md
QA-104876	PASS	runs/2026-06-27/QA-104876-report.md
QA-1053	BLOCKED	runs/2026-06-27/QA-1053-report.md
QA-106218	PASS	runs/2026-06-27/QA-106218-report.md
QA-106221	PASS	runs/2026-06-27/QA-106221-report.md
QA-107134	UNKNOWN	runs/2026-06-27/QA-107134-report.md
