QA-198	none
QA-281	LFMP-31961(Open)
QA-457	none
QA-520	none
QA-837	LFMP-31798(Open),LFMP-31918(Open)
QA-929	LFMP-31979(Open)
QA-949	none
QA-1053	none
QA-1124	none
QA-1519	none
QA-1677	LFMP-32155(Open)
QA-2035	none
QA-2498	none
QA-2706	LFMP-31886(Open)
QA-3630	LFMP-32010(Open)
QA-12532	LFMP-31903(Open),LFMP-31903(Open),LFMP-32116(Open)
QA-19482	none
QA-19557	APPS-58817(Open),LFMP-32016(Open)
QA-20988	DATA-12089(Code Review),DATA-12089(Code Review)
QA-23969	LFMP-31925(Open),LFMP-31925(Open)
QA-24544	none
QA-27854	none
QA-27856	none
QA-28799	none
QA-29479	none
QA-33510	none
QA-43916	none
QA-51425	none
QA-51490	none
QA-52776	none
QA-65554	none
QA-85176	none
QA-90213	none
QA-96038	none
QA-96665	LFMP-32027(Open)
QA-96818	LFMP-31977(Open),LFMP-31977(Open)
QA-98368	none
QA-100764	none
QA-103248	none
QA-104870	none
QA-106218	none
QA-109062	none
QA-109920	none
QA-110074	none
QA-116113	DATA-12043(Code Review)
QA-129606	none
QA-129803	none
QA-130076	none
QA-131491	DATA-12223(QA Ready)
QA-131492	none
QA-132387	none
QA-132392	none
QA-134173	none
QA-134182	none
QA-134184	none
QA-134185	none
QA-134188	none
QA-134277	none
QA-134448	none
QA-134449	none
QA-134516	none
QA-134594	none
QA-135319	none
QA-135321	LFMP-32155(Open)
QA-138031	APPS-61562(QA Ready)
QA-139187	none
